ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,KURTKÖY,68.0,2,6,10,100,1,1,1.0,2,1,3900000.0,İSTANBUL_PENDİK_KURTKÖY,6.2711,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,148.0,3,15,6,100,1,2,1.0,3,1,3400000.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.3628,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ÇAMLIK,125.0,0,15,4,100,0,1,1.0,3,1,4000000.0,İSTANBUL_PENDİK_ÇAMLIK,6.3628,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YAYALAR,73.0,6,7,10,100,1,1,1.0,2,1,2600000.0,İSTANBUL_PENDİK_YAYALAR,6.3628,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİŞEHİR,67.0,2,4,14,100,1,1,1.0,2,1,4400000.0,İSTANBUL_PENDİK_YENİŞEHİR,6.3628,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,95.0,1,22,4,100,0,1,1.0,2,2,256500.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.3628,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,FEVZİ ÇAKMAK,83.0,1,4,12,100,1,1,1.0,2,1,4600000.0,İSTANBUL_PENDİK_FEVZİ ÇAKMAK,6.3628,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİŞEHİR,65.0,0,12,12,100,1,1,1.0,2,1,3250000.0,İSTANBUL_PENDİK_YENİŞEHİR,6.4528,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,HARMANDERE,102.0,5,23,11,100,1,1,1.0,3,1,3500000.0,İSTANBUL_PENDİK_HARMANDERE,6.4528,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,AHMET YESEVİ,61.0,0,13,5,100,0,1,1.0,2,1,1750000.0,İSTANBUL_PENDİK_AHMET YESEVİ,6.4528,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ÇAMLIK,252.0,1,22,3,100,0,1,2.0,7,2,9500000.0,İSTANBUL_PENDİK_ÇAMLIK,6.4528,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
